id;fecha;detalle;categoria;tipo;monto;tasa;comentarios;activo;consolidado;creado_por;modificado_por
1;30/6/2026;CIERRE de Junio 2026;;IN-Bs;552,85;554;;True;True;administrador;administrador
2;30/6/2026;CIERRE de Junio 2026;;IN-$Ze;552,85;554;;True;True;administrador;administrador
3;30/6/2026;CIERRE de Junio 2026;;IN-$Ch;552,85;554;;True;True;administrador;administrador
4;1/7/2026;Egreso de bs por pago puerto color cshea;Puerto Color Cashea;EG-Bs;7.036,68;633;;True;True;administrador;administrador
5;1/7/2026;Egreso de bs por pago comision pago movil;Puerto Color Cashea;EG-Bs;21,11;633;;True;True;administrador;administrador
6;1/7/2026;Egreso de $550 por zelle por pago alquiler casa paleta mes de julio;Alquiler casa;EG-$Ze;550;;;True;True;administrador;administrador
7;2/7/2026;Egreso de bs por recaraga paleta;Recarga;EG-Bs;1.500,00;633;Factura 442;True;True;administrador;administrador
8;3/7/2026;Egreso de bs por pago tirro para pintar ;Tirro;EG-Bs;646,4;633;;True;True;administrador;administrador
9;3/7/2026;Egreso de bs por pago impresión vinil mp;Impresión;EG-Bs;8.253,57;650;;True;True;administrador;administrador
10;3/7/2026;Egreso de bs por pago comision pago movil;Impresión;EG-Bs;24,76;650;;True;True;administrador;administrador
11;3/7/2026;Ingreso de bs por pago decoracion vivo $100;Decoración;IN-Bs;74.732,71;747,33;Abonado a cuenta;True;True;administrador;administrador
12;4/7/2026;Egreso de bs por pago sueldo semana Dani;Salario personal;EG-Bs;26.156,45;747,33;;True;True;administrador;administrador
13;4/7/2026;Egreso de bs por pago comision pago movil;Salario personal;EG-Bs;78,47;747,33;;True;True;administrador;administrador
14;4/7/2026;Egreso de bs por pago traslado yeli;Salario personal;EG-Bs;6.529,73;652;;True;True;administrador;administrador
15;4/7/2026;Egreso de bs por pago comision pago movil;Salario personal;EG-Bs;19,59;652;;True;True;administrador;administrador
16;4/7/2026;Egreso de bs por pago traslado semana Dani;Salario personal;EG-Bs;6.529,73;652;;True;True;administrador;administrador
